dataset,,diffentropy
ontologi,50%,0.19770277922009027
ontologi,75%,0.270011468955496
ontologi,max,3.2219280948873616
openei,count,4.0
openei,mean,0.04719016077075322
openei,std,0.013514070409101304
openei,min,0.03548663248793904
openei,25%,0.03548663248794037
openei,50%,0.047190160770753664
openei,75%,0.05889368905356651
openei,max,0.05889368905356651
reegle,count,243.0
reegle,mean,3.3102063836395677
reegle,std,3.2847895115473817
reegle,min,0.0
reegle,25%,1.0
reegle,50%,1.0
reegle,75%,7.559621622765597
reegle,max,8.204295107185384
revyu,count,44258.0
revyu,mean,0.35369000947027596
revyu,std,0.40688437906461533
revyu,min,0.0
revyu,25%,0.0
revyu,50%,0.22239242133644851
revyu,75%,0.4150374992788439
revyu,max,5.436350570333638
rodeionet,count,626.0
rodeionet,mean,0.08197916971567762
rodeionet,std,0.046128428168216544
rodeionet,min,0.0
rodeionet,25%,0.04439411935845605
rodeionet,50%,0.07400058144377475
rodeionet,75%,0.10691520391651288
rodeionet,max,0.2630344058337961
semanticweb,count,54056.0
semanticweb,mean,0.2168879255161826
semanticweb,std,0.2225481227096533
semanticweb,min,-0.001933784551572337
semanticweb,25%,0.0
semanticweb,50%,0.16992500144231215
semanticweb,75%,0.3719280948873625
semanticweb,max,2.3219280948873617
sheffield,count,576590.0
sheffield,mean,0.7845883691871681
sheffield,std,0.26162831553724075
sheffield,min,0.0
sheffield,25%,0.5849625007211561
sheffield,50%,1.0
sheffield,75%,1.0
sheffield,max,1.0
simia,count,28987.0
simia,mean,0.2620407754952959
simia,std,0.2526676392892056
simia,min,0.0
simia,25%,0.15200309344505006
simia,50%,0.19264507794239535
simia,75%,0.3219280948873622
simia,max,7.1689128250883725
soton,count,35953.0
soton,mean,0.2684767395710317
soton,std,0.39019340342090403
soton,min,0.0
soton,25%,0.0
soton,50%,0.0
soton,75%,0.4881973225725762
soton,max,1.584962500721156
swcompany,count,30.0
swcompany,mean,0.9474919145001954
swcompany,std,1.675976031074316
swcompany,min,0.0
swcompany,25%,0.0
swcompany,50%,0.0
swcompany,75%,1.75
swcompany,max,5.021928094887364
tomheath,count,12.0
tomheath,mean,0.7984449850431177
tomheath,std,1.126139363129584
tomheath,min,0.0
tomheath,25%,0.0
tomheath,50%,0.20751874963942196
tomheath,75%,1.2223924213364483
tomheath,max,3.352537499278844
twrpi,count,55.0
twrpi,mean,0.6365675212432482
twrpi,std,0.792675153395985
twrpi,min,0.0
twrpi,25%,0.13151720291689695
twrpi,50%,0.5849625007211561
twrpi,75%,1.0
twrpi,max,5.368522527728206
ukpostcodes,count,5.0
ukpostcodes,mean,1.3235255561324806
ukpostcodes,std,1.4977099106677823
ukpostcodes,min,0.0
ukpostcodes,25%,0.0
ukpostcodes,50%,0.9182958340544896
ukpostcodes,75%,2.281036112553424
ukpostcodes,max,3.4182958340544896
